FORMA,TRADUÇÃO,TIPO
eh,é,
d+,demais,
boua,boa,
axo,acho,
blá blá blá,(conversa),onomatopéia
tah,está,
fika,fica,
hum,(expectativa),interjeição
xou,show,
mt,muito,
tudibão,tudo de bom,
hm,(expectativa),interjeição
kem,quem,
akeles,aqueles,
taria,estaria,
tô,estou,
af,(desapontamento),interjeição
bão,bom,
neh,né,
daora,da hora,
ah,ah,interjeição
snif,(choro),onomatopéia
ñ,não,
naum,não,
oq,o que,
aki,aqui,
xing-ling,Xing Ling,
axei,achei,
kero,quero,
xingling,Xing Ling,
tals,tal,
xing-lings,Xing Ling,
poko,pouco,
valew,valeu,
tai,está aí,
nunka,nunca,
vç,você,
ae,aí,
soh,só,
jah,já,
tou,estou,
vlw,valeu,
ateh,até,
ksa,casa,
putz,puxa vida,interjeição
issu,isso,
êh,é,
xingue-lingue,Xing Ling,
estah,está,
nunk,nunca,
dah,dá,
uau,(surpresa),interjeição
fik,fica,
m*,merda,
tudu,tudo,
