FORMA,TRADUÇÃO,TIPO
9vidades,novidades,
abç,abraço,
ae,aí,
aew,oi,
af,ave maria,
aff,ave maria,
agg,agora,
ah,ah,interjeição
aham,sim,
ahua,( risada ),
akbo,acabou,
akele,aquele,
akeles,aqueles,
aki,aqui,
alterassaum,alteração,
amgo,amigo,
amour,amor,
amul,amo,
anaum,anão,
anju,anjo,
aqê,aqui,
arkivu,arquivo,
asho,acho,
ashu,acho,
at+,até mais tarde,
ateh,até,
axa,acha,
axei,achei,
axo,acho,
axu,acho,
bão,bom,
bashando,baixando,
baum,bom,
baxin,baixinho,
bb,bebê,
bbeu,bebeu,
beim,bem,
bgd,obrigado,
bikim,biquinho,
bikini,biquini,
bilhetin,bilhetinho,
bj,beijo,
blá blá blá,( conversa ),onomatopéia
blá blá,( conversa ),onomatopéia
blá,( conversa ),onomatopéia
blz,beleza,
bora,embora,
boua,boa,
brig´s,obrigado,
brink´s,brincadeira,
brinquedin,brinquedinho,
btf,boto fé,
bv,boca virgem,
calmin,calmo,
caracow,caraca,
caxorro,cachorro,
cda,cada,
cedaum,bem cedo,
cel,celular,
cê,você,
chegay,cheguei,
choranu,chorando,
clike,clique,
cmg,comigo,
cnte,conte,
cntg,contigo,
colok,colocar,
coment's,comentário,
comg,comigo,
complikadu,complicado,
conkistô,consquistou,
corguin,córrego,
covard,covarde,
craq,craque,
cruzis,cruzes,
ctz,certeza,
culete,colete,
cumé,como é,
cunhesu,conheço,
cursin,cursinho,
cvard,covarde,
c,com,
c/,com,
cvs,conversar,
dah,dá,
dakeê,daqui,
dakeles,daqueles,
daora,da hora,
dahora,da hora,
daqle,daquele,
d,de,
d+,demais,
decha,deixa,
dels,deus,
demorô,demorou,
deol,deu,
deprê,depressão,
deshar,deixar,
deskbelada,descabelada,
detali,detalhe,
dexha,deixa,
direitin,direitinho,
dmais,demais+,
d nda,de nada,
docih,doce,
dp,depois,
dpois,depois,
dps,depois,
duenti,doente,
dus,dos,
eh,é,
êh,é,
enqt,enquanto,
