FORMA,TRADUÇÃO,TIPO
msm,mesmo,
qe,que,
qd,quando,
nº,número,
tbém,também,
tdo,tudo,
qndo,quando,
qnd,quando,
maq,máquina,
enqto,enquanto,
qse,quase,
máq,máquina,
sist,sistema,
qtde,quantidade,
img,imagem,
cond,condição,
qnto,quanto,
qt,quanto,
dmais,demais,
qero,quero,
celu,celular,
refri,refrigerante,
quant,quantidade,
qqr,qualquer,
vc,você,
mto,muito,
hj,hoje,
tmb,também,
téc,técnica,
obg,obrigado,
mtos,muitos,
hr,hora,
eqpto,equipamento,
msgs,mensagens,
eqto,enquanto,
bjos,beijos,
nro,número,
mic,microfone,
agr,agora,
tecn,técnica,
promo,promoção,
nots,notebooks,
próx,próxima,
qdo,quando,
vcs,vocês,
qto,quanto,
msg,mensagem,
tbem,também,
assist,assistência,
hrs,horas,
bb,bebê,
mem,memória,
gde,grande,
mtas,muitas,
rec,REC,
ngm,ninguém,
bf3,Battlefield 3,
vw,valeu,
atend,atendimento,
btooth,bluetooth,
tbm,também,
né,não é,
td,tudo,
qq,qualquer,
mta,muita,
vs,vocês,
qquer,qualquer,
bjs,beijos,
vlr,valor,
px,próxima,
dps,depois,
prq,porque,
apt,apartamento,
mgs,mensagens,
thx,obrigado,
pqe,porque,
c/,com,
mtb,mountain bike,
bbb,bom bonito e barato,
transf,transferência,
